epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5887.63,0.89624,1.03416,1.34546,0.84281,0.82215,0.88447,0.63022,1.04641,0.82851,1.55388,0.005842,0.005842,0.005842
44,6024.91,0.88314,1.02267,1.34316,0.90011,0.79984,0.89008,0.64276,1.03892,0.80194,1.5237,0.005743,0.005743,0.005743
45,6160.74,0.89089,1.00694,1.34688,0.88629,0.82913,0.89671,0.64772,1.04656,0.82423,1.51555,0.005644,0.005644,0.005644
46,6295.25,0.88682,1.00493,1.3391,0.88612,0.79569,0.87909,0.63703,1.06985,0.83835,1.56108,0.005545,0.005545,0.005545
47,6430.78,0.88449,0.99362,1.34224,0.8493,0.81664,0.8743,0.63798,1.03514,0.83682,1.53989,0.005446,0.005446,0.005446
48,6566.51,0.87685,0.98921,1.33357,0.86954,0.79679,0.87484,0.62663,1.05265,0.83218,1.56929,0.005347,0.005347,0.005347
49,6703.91,0.87664,0.97427,1.33173,0.88623,0.82451,0.88407,0.64868,1.04311,0.80683,1.55358,0.005248,0.005248,0.005248
50,6840.17,0.86618,0.96537,1.32447,0.87755,0.83441,0.89567,0.64295,1.07022,0.80803,1.58359,0.005149,0.005149,0.005149
51,6977.66,0.86572,0.97296,1.32634,0.85011,0.81759,0.88769,0.64174,1.06768,0.83362,1.5748,0.00505,0.00505,0.00505
52,7114.68,0.85715,0.93633,1.31263,0.85083,0.81477,0.8781,0.6321,1.07038,0.85367,1.62138,0.004951,0.004951,0.004951
53,7254.42,0.86613,0.96254,1.32264,0.83667,0.82684,0.87394,0.62844,1.08057,0.82344,1.59912,0.004852,0.004852,0.004852
54,7389.3,0.86053,0.94324,1.31709,0.90248,0.79264,0.88616,0.64166,1.04517,0.809,1.56034,0.004753,0.004753,0.004753
55,7528.26,0.84371,0.92967,1.30762,0.86453,0.8142,0.8872,0.63743,1.02616,0.80643,1.51506,0.004654,0.004654,0.004654
56,7664.7,0.85189,0.93991,1.31474,0.87585,0.79977,0.87833,0.6313,1.06111,0.82485,1.57683,0.004555,0.004555,0.004555
57,7799.38,0.84003,0.89904,1.29868,0.88008,0.80025,0.88044,0.64904,1.01552,0.81687,1.50514,0.004456,0.004456,0.004456
58,7935.18,0.83778,0.91004,1.30117,0.84663,0.85895,0.89251,0.64734,1.04189,0.82626,1.54995,0.004357,0.004357,0.004357
59,8074.55,0.83539,0.91133,1.30118,0.87035,0.8152,0.89071,0.65488,1.02659,0.77304,1.5305,0.004258,0.004258,0.004258
60,8212.72,0.82996,0.89979,1.29696,0.88096,0.81471,0.88949,0.65071,1.03026,0.77745,1.55433,0.004159,0.004159,0.004159
61,8349.14,0.82517,0.88569,1.29104,0.8829,0.83839,0.89949,0.66068,1.03722,0.76872,1.54207,0.00406,0.00406,0.00406
62,8486.64,0.82755,0.8794,1.2908,0.88557,0.83006,0.8929,0.65954,1.05042,0.7729,1.55835,0.003961,0.003961,0.003961
63,8623.45,0.81896,0.86873,1.28708,0.90226,0.8189,0.89571,0.65389,1.0336,0.76488,1.52636,0.003862,0.003862,0.003862
64,8761.85,0.8127,0.87279,1.28229,0.88417,0.836,0.90181,0.65775,1.03498,0.75179,1.5287,0.003763,0.003763,0.003763
65,8901,0.80849,0.86321,1.27999,0.87199,0.84917,0.90306,0.65642,1.03502,0.77988,1.53827,0.003664,0.003664,0.003664
66,9040.23,0.80955,0.85112,1.27908,0.89333,0.83974,0.90214,0.66031,1.0125,0.74938,1.51319,0.003565,0.003565,0.003565
67,9179.46,0.79941,0.84007,1.27316,0.85948,0.85103,0.8994,0.65822,1.01826,0.77423,1.51399,0.003466,0.003466,0.003466
68,9317.63,0.8043,0.84451,1.27629,0.87709,0.83373,0.89864,0.6573,1.03688,0.75604,1.5398,0.003367,0.003367,0.003367
69,9455.63,0.79156,0.83446,1.26545,0.8755,0.86229,0.90172,0.67036,1.00785,0.76115,1.52768,0.003268,0.003268,0.003268
70,9594.3,0.79118,0.82932,1.26825,0.89019,0.83368,0.89897,0.66387,1.02818,0.76643,1.54346,0.003169,0.003169,0.003169
71,9732.71,0.79107,0.83313,1.27104,0.89806,0.83937,0.90102,0.66561,1.01756,0.76153,1.53306,0.00307,0.00307,0.00307
72,9869.64,0.79265,0.81267,1.26469,0.86665,0.85419,0.89644,0.66422,1.01643,0.75696,1.52955,0.002971,0.002971,0.002971
73,10010.4,0.78378,0.81073,1.26195,0.90955,0.81148,0.89717,0.66309,1.02795,0.74662,1.5522,0.002872,0.002872,0.002872
74,10149.1,0.77464,0.80662,1.25795,0.92495,0.81659,0.89787,0.65831,1.02983,0.76249,1.54284,0.002773,0.002773,0.002773
75,10283.3,0.77163,0.79049,1.25192,0.90385,0.82574,0.89756,0.66157,1.02271,0.74951,1.52305,0.002674,0.002674,0.002674
76,10417.8,0.76462,0.78748,1.25073,0.89379,0.84231,0.90221,0.66307,1.0316,0.76024,1.52817,0.002575,0.002575,0.002575
77,10553.6,0.76335,0.78166,1.2461,0.86739,0.83556,0.89684,0.65856,1.01674,0.75219,1.51376,0.002476,0.002476,0.002476
78,10688.7,0.76392,0.77917,1.24677,0.86982,0.83474,0.89741,0.66516,1.00544,0.755,1.50434,0.002377,0.002377,0.002377
79,10824.9,0.76521,0.78059,1.24936,0.89487,0.81989,0.89695,0.6651,1.00861,0.74762,1.51439,0.002278,0.002278,0.002278
80,10958.5,0.74769,0.77005,1.23981,0.90342,0.82207,0.89964,0.66186,1.01454,0.75846,1.51805,0.002179,0.002179,0.002179
81,11091.8,0.75582,0.76924,1.24098,0.8806,0.84049,0.90398,0.67101,1.01515,0.75261,1.52805,0.00208,0.00208,0.00208
82,11229.3,0.75025,0.76062,1.23885,0.86885,0.84181,0.89944,0.66598,1.01873,0.75302,1.53227,0.001981,0.001981,0.001981
83,11366.8,0.74746,0.75755,1.23284,0.88941,0.82309,0.89884,0.66509,1.01439,0.75344,1.51854,0.001882,0.001882,0.001882
84,11503.8,0.74775,0.75778,1.23877,0.88758,0.8199,0.89267,0.66774,1.00144,0.74558,1.50822,0.001783,0.001783,0.001783
85,11640.4,0.73968,0.74094,1.2302,0.89761,0.811,0.8924,0.66519,0.99191,0.74933,1.50358,0.001684,0.001684,0.001684
86,11778.2,0.73437,0.74066,1.2284,0.88886,0.83364,0.9004,0.66535,0.9913,0.74902,1.51049,0.001585,0.001585,0.001585
87,11915.4,0.73217,0.7321,1.22349,0.87956,0.82972,0.89093,0.66969,0.99917,0.74257,1.52162,0.001486,0.001486,0.001486
88,12051,0.72565,0.72217,1.22627,0.8882,0.82279,0.89187,0.66625,1.00763,0.74617,1.52947,0.001387,0.001387,0.001387
89,12185.6,0.7159,0.71627,1.21431,0.9017,0.81664,0.89644,0.66749,1.00867,0.75546,1.52948,0.001288,0.001288,0.001288
90,12320.2,0.71418,0.71305,1.21226,0.90744,0.81316,0.89529,0.66437,1.01583,0.76018,1.53601,0.001189,0.001189,0.001189
91,12452.7,0.60472,0.47244,1.19659,0.90378,0.82304,0.89556,0.66855,1.01601,0.74689,1.54367,0.00109,0.00109,0.00109
92,12585.7,0.59134,0.44562,1.18296,0.8998,0.82683,0.89926,0.66888,1.01179,0.74025,1.53892,0.000991,0.000991,0.000991
93,12716.6,0.57241,0.42188,1.17239,0.88961,0.83277,0.8975,0.67055,1.00509,0.73904,1.52936,0.000892,0.000892,0.000892
94,12846.1,0.5632,0.41182,1.15962,0.88589,0.84342,0.89961,0.67221,1.00693,0.73898,1.53248,0.000793,0.000793,0.000793
95,12976,0.55722,0.40737,1.15348,0.88343,0.83817,0.8962,0.67107,1.00721,0.73731,1.53246,0.000694,0.000694,0.000694
96,13105.3,0.55265,0.40238,1.1533,0.88831,0.83736,0.89731,0.67129,1.0106,0.73662,1.53933,0.000595,0.000595,0.000595
97,13234.6,0.54744,0.39808,1.14862,0.87502,0.8405,0.89666,0.66735,1.01384,0.73254,1.54949,0.000496,0.000496,0.000496
98,13362.5,0.53806,0.38984,1.13729,0.88541,0.83344,0.89644,0.6705,1.0134,0.7325,1.55524,0.000397,0.000397,0.000397
99,13491.5,0.53924,0.39029,1.14242,0.86384,0.84992,0.89624,0.66747,1.01722,0.73401,1.56201,0.000298,0.000298,0.000298
100,13621.7,0.53305,0.38495,1.13023,0.86641,0.84831,0.8973,0.66872,1.02096,0.73134,1.56895,0.000199,0.000199,0.000199
